Experiment,Model,Optimizer,Learning Rate,Dropout,Weight Decay,Epochs,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Model Path
lr_tuning,cnn,adam,0.1,0.3,0.0001,10,0.4197,86.27,0.4358,80,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\lr_tuning_cnn_opt-adam_lr-0.1_drop-0.3_wd-0.0001_epoch-10.pth
lr_tuning,cnn,adam,0.01,0.3,0.0001,10,0.3829,86.27,0.4024,80,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\lr_tuning_cnn_opt-adam_lr-0.01_drop-0.3_wd-0.0001_epoch-10.pth
lr_tuning,cnn,adam,0.001,0.3,0.0001,10,0.3308,89.55,0.3954,81.33,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\lr_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
dropout_tuning,cnn,adam,0.001,0.2,0.0001,10,0.2419,91.04,0.4036,85.33,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\dropout_tuning_cnn_opt-adam_lr-0.001_drop-0.2_wd-0.0001_epoch-10.pth
dropout_tuning,cnn,adam,0.001,0.3,0.0001,10,0.3205,89.85,0.3911,81.33,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\dropout_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
dropout_tuning,cnn,adam,0.001,0.5,0.0001,10,0.2866,89.85,0.4631,81.33,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\dropout_tuning_cnn_opt-adam_lr-0.001_drop-0.5_wd-0.0001_epoch-10.pth
weight_decay_tuning,cnn,adam,0.001,0.3,0,10,0.2927,91.04,0.4313,84,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\weight_decay_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0_epoch-10.pth
weight_decay_tuning,cnn,adam,0.001,0.3,0.0001,10,0.2409,91.04,0.4553,84,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\weight_decay_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
weight_decay_tuning,cnn,adam,0.001,0.3,0.001,10,0.228,91.64,0.4342,84,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\weight_decay_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.001_epoch-10.pth
epoch_tuning,cnn,adam,0.001,0.3,0.0001,5,0.347,88.66,0.3804,81.33,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\epoch_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-5.pth
epoch_tuning,cnn,adam,0.001,0.3,0.0001,10,0.2363,91.94,0.4243,84,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\epoch_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
epoch_tuning,cnn,adam,0.001,0.3,0.0001,15,0.2545,91.94,0.5258,84,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\epoch_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-15.pth
optimizer_tuning,cnn,adam,0.001,0.3,0.0001,10,0.2252,93.13,0.612,85.33,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\optimizer_tuning_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
optimizer_tuning,cnn,sgd,0.001,0.3,0.0001,10,0.3939,86.27,0.43,80,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\optimizer_tuning_cnn_opt-sgd_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
optimizer_tuning,cnn,rmsprop,0.001,0.3,0.0001,10,0.2135,92.84,0.412,86.67,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\optimizer_tuning_cnn_opt-rmsprop_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
default,ann,adam,0.001,0.3,0.0001,10,0.4487,85.97,0.4705,80,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\default_ann_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
default,cnn,adam,0.001,0.3,0.0001,10,0.3095,89.25,0.413,84,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\default_cnn_opt-adam_lr-0.001_drop-0.3_wd-0.0001_epoch-10.pth
Final Tuned CNN,cnn,rmsprop,0.001,0.2,0.0,10,0.2226,91.94,0.363,86.67,s:\albstadt sigmaringen university\digital technology and management\hazelnut-classification\models\Final Tuned CNN_cnn_opt-rmsprop_lr-0.001_drop-0.2_wd-0.0_epoch-10.pth
